Treatment,Replicate,TotalHatch,TotalDeath,TotalEmbryosStart,PercentMort,PercentHatch
0,1,44,16,60,26.66666667,73.33333333
0,2,45,5,50,10,90
0,3,60,15,75,20,80
2.5,1,46,28,74,37.83783784,62.16216216
2.5,2,43,26,69,37.68115942,62.31884058
2.5,3,63,25,88,28.40909091,71.59090909
6.5,1,37,20,57,35.0877193,64.9122807
6.5,2,36,11,47,23.40425532,76.59574468
6.5,3,40,30,70,42.85714286,57.14285714
10,1,46,22,68,32.35294118,67.64705882
10,2,49,6,55,10.90909091,89.09090909
10,3,51,9,60,15,85
14.5,1,46,32,78,41.02564103,58.97435897
14.5,2,38,30,68,44.11764706,55.88235294
14.5,3,50,17,67,25.37313433,74.62686567
21,1,44,16,60,26.66666667,73.33333333
21,2,35,20,55,36.36363636,63.63636364
21,3,40,23,63,36.50793651,63.49206349
29.5,1,7,31,38,81.57894737,18.42105263
29.5,2,30,29,59,49.15254237,50.84745763
29.5,3,11,43,54,79.62962963,20.37037037
40,1,1,52,53,98.11320755,1.886792453
40,2,2,54,56,96.42857143,3.571428571
40,3,3,57,60,95,5
53,1,0,58,58,100,0
53,2,1,63,64,98.4375,1.5625
53,3,1,34,35,97.14285714,2.857142857
