Treatment,Rep,FishInMesoStart,FishInMesoEnd,Mass,Length,CF,Section
0,1,23,21,85,19.988,1.064,3
0,1,23,21,80,19.526,1.075,3
0,1,23,21,66,17.747,1.181,3
0,1,23,21,41,16.782,0.867,3
0,1,23,21,77,20.697,0.868,3
0,1,23,21,92,20.808,1.021,3
0,1,23,21,57,18.343,0.924,3
0,1,23,21,79,21.433,0.802,3
0,1,23,21,61,19.22,0.859,3
0,1,23,21,83,19.151,1.182,3
0,1,23,21,76,21.578,0.756,3
0,1,23,21,50,17.078,1.004,3
0,1,23,21,35,15.296,0.978,3
0,1,23,21,109,22.088,1.011,3
0,1,23,21,53,17.089,1.062,3
0,1,23,21,68,19.259,0.952,3
0,1,23,21,77,19.468,1.044,3
0,1,23,21,74,19.507,0.997,3
0,1,23,21,93,21.279,0.965,3
0,1,23,21,70,19.297,0.974,3
0,1,23,21,73,19.781,0.943,3
0,2,30,26,100,23.529,0.768,1
0,2,30,26,71,21.124,0.753,1
0,2,30,26,62,19.931,0.783,1
0,2,30,26,65,19.776,0.84,1
0,2,30,26,82,22.008,0.769,1
0,2,30,26,72,20.91,0.788,1
0,2,30,26,84,19.834,1.077,1
0,2,30,26,76,21.379,0.778,1
0,2,30,26,70,21.81,0.675,1
0,2,30,26,100,22.148,0.92,1
0,2,30,26,79,19.864,1.008,1
0,2,30,26,79,19.072,1.139,1
0,2,30,26,76,19.865,0.97,1
0,2,30,26,52,18.29,0.85,1
0,2,30,26,96,22.209,0.876,1
0,2,30,26,84,19.854,1.073,1
0,2,30,26,78,20.35,0.926,1
0,2,30,26,80,19.659,1.053,1
0,2,30,26,77,20.719,0.866,1
0,2,30,26,76,21.458,0.769,1
0,2,30,26,66,21.806,0.637,1
0,2,30,26,71,21.913,0.675,1
0,2,30,26,52,19.356,0.717,1
0,2,30,26,87,22.912,0.723,1
0,2,30,26,78,21.246,0.813,1
0,2,30,26,75,21.409,0.764,1
0,3,31,30,57,19.64,0.752,3
0,3,31,30,76,21.324,0.784,3
0,3,31,30,65,20.258,0.782,3
0,3,31,30,68,20.09,0.839,3
0,3,31,30,60,20.606,0.686,3
0,3,31,30,67,20.223,0.81,3
0,3,31,30,72,21.636,0.711,3
0,3,31,30,64,21.149,0.677,3
0,3,31,30,84,19.251,1.177,3
0,3,31,30,73,21.324,0.753,3
0,3,31,30,62,21.067,0.663,3
0,3,31,30,46,19.891,0.585,3
0,3,31,30,40,17.452,0.753,3
0,3,31,30,88,20.744,0.986,3
0,3,31,30,53,18.063,0.899,3
0,3,31,30,56,19.609,0.743,3
0,3,31,30,70,19.478,0.947,3
0,3,31,30,66,21.655,0.65,3
0,3,31,30,66,19.783,0.852,3
0,3,31,30,71,19.343,0.981,3
0,3,31,30,53,19.692,0.694,3
0,3,31,30,61,21.852,0.585,3
0,3,31,30,54,18.233,0.891,3
0,3,31,30,72,19.793,0.929,3
0,3,31,30,46,19.229,0.647,3
0,3,31,30,55,20.659,0.624,3
0,3,31,30,56,18.601,0.87,3
0,3,31,30,78,22.597,0.676,3
0,3,31,30,73,22.607,0.632,3
0,3,31,30,45,18.788,0.679,3
2.5,1,27,26,76,20.415,0.893,1
2.5,1,27,26,87,20.72,0.978,1
2.5,1,27,26,95,19.292,1.323,1
2.5,1,27,26,73,18.758,1.106,1
2.5,1,27,26,93,20.902,1.018,1
2.5,1,27,26,84,19.578,1.119,1
2.5,1,27,26,36,18.065,0.611,1
2.5,1,27,26,52,16.278,1.206,1
2.5,1,27,26,77,19.583,1.025,1
2.5,1,27,26,83,18.964,1.217,1
2.5,1,27,26,72,19.465,0.976,1
2.5,1,27,26,81,19.943,1.021,1
2.5,1,27,26,74,19.783,0.956,1
2.5,1,27,26,105,22.068,0.977,1
2.5,1,27,26,44,16.385,1,1
2.5,1,27,26,47,17.145,0.933,1
2.5,1,27,26,95,20.934,1.036,1
2.5,1,27,26,56,18.508,0.883,1
2.5,1,27,26,87,20.729,0.977,1
2.5,1,27,26,70,19.583,0.932,1
2.5,1,27,26,51,18.711,0.779,1
2.5,1,27,26,66,19.612,0.875,1
2.5,1,27,26,64,19.425,0.873,1
2.5,1,27,26,58,18.994,0.846,1
2.5,1,27,26,89,20.683,1.006,1
2.5,1,27,26,62,17.188,1.221,1
2.5,2,27,26,73,19.606,0.969,3
2.5,2,27,26,50,18.319,0.813,3
2.5,2,27,26,70,20.785,0.78,3
2.5,2,27,26,82,20.51,0.95,3
2.5,2,27,26,74,20.782,0.824,3
2.5,2,27,26,84,21.305,0.869,3
2.5,2,27,26,83,21.27,0.863,3
2.5,2,27,26,87,20.152,1.063,3
2.5,2,27,26,65,21.281,0.674,3
2.5,2,27,26,52,17.781,0.925,3
2.5,2,27,26,43,16.752,0.915,3
2.5,2,27,26,86,21.109,0.914,3
2.5,2,27,26,51,17.533,0.946,3
2.5,2,27,26,89,21.002,0.961,3
2.5,2,27,26,65,18.747,0.987,3
